Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,Size,01_Zero employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,01_Zero employees,2020,174,,NZ Dollars (millions),5 and 12,40.9
_01_Total_RD_Expenditure,Size,01_Zero employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,01_Zero employees,2022,166,P,NZ Dollars (millions),5 and 12,28.5
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2016,145,,NZ Dollars (millions),5 and 12,18.1
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2018,206,,NZ Dollars (millions),5 and 12,11.6
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2020,270,,NZ Dollars (millions),5 and 12,6.7
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2021,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,02_1 to 9 employees,2022,260,P,NZ Dollars (millions),5 and 12,10.4
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2016,150,,NZ Dollars (millions),5 and 12,12.1
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2018,149,,NZ Dollars (millions),5 and 12,16.2
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2019,...,,NZ Dollars (millions),5 and 12,...
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2020,216,,NZ Dollars (millions),5 and 12,13
_01_Total_RD_Expenditure,Size,03_10 to 19 employees,2021,...,,NZ Dollars (millions),5 and 12,...
